E,NE,C,A,R,R,B,R,R,R
R,R,R,R,R,R,R,R,R,R
E,NE,C,A,B,R,R,R,R,R
R,E,C,A,NE,R,B,R,R,R
B,NE,C,R,A,E,R,R,R,R
R,NE,R,C,A,E,B,R,R,R
E,NE,A,C,R,R,B,R,R,R
E,R,C,A,R,R,R,NE,B,R
R,R,R,R,R,R,R,R,R,R
E,B,C,R,A,R,NE,R,R,R
R,E,C,A,B,R,R,NE,R,R
R,NE,A,C,B,E,R,R,R,R
R,R,C,A,R,E,B,NE,R,R
A,E,R,C,NE,R,B,R,R,R
E,NE,A,C,R,R,B,R,R,R
R,R,R,R,R,R,R,R,R,R
E,NE,C,A,B,R,R,R,R,R
R,R,C,A,B,R,E,NE,R,R
E,B,R,C,NE,NE,R,R,R,A
R,NE,C,A,R,NE,B,E,R,R
A,E,R,R,R,R,B,NE,R,C
E,NE,A,C,B,R,R,R,R,R
R,R,R,R,R,R,R,R,R,R
E,A,C,R,B,R,R,NE,R,R
R,E,C,A,NE,R,B,R,R,R
E,B,R,C,A,NE,R,R,R,R
R,E,A,C,R,NE,B,R,R,R
NE,E,R,C,A,R,R,R,B,R
E,R,C,A,NE,R,R,R,R,B
R,R,R,R,R,R,R,R,R,R
E,NE,C,B,A,R,R,R,R,R
